"from","to","combined_score"
"9606.ENSP00000336775","9606.ENSP00000394770",705
"9606.ENSP00000351206","9606.ENSP00000394770",450
"9606.ENSP00000351206","9606.ENSP00000394770",450
"9606.ENSP00000354923","9606.ENSP00000394770",828
"9606.ENSP00000354923","9606.ENSP00000394770",828
"9606.ENSP00000363557","9606.ENSP00000394770",447
"9606.ENSP00000363557","9606.ENSP00000394770",447
"9606.ENSP00000380349","9606.ENSP00000394770",636
"9606.ENSP00000380349","9606.ENSP00000394770",636
"9606.ENSP00000226207","9606.ENSP00000400908",439
"9606.ENSP00000226207","9606.ENSP00000400908",439
"9606.ENSP00000232975","9606.ENSP00000400908",722
"9606.ENSP00000232975","9606.ENSP00000400908",722
"9606.ENSP00000284669","9606.ENSP00000400908",470
"9606.ENSP00000284669","9606.ENSP00000400908",470
"9606.ENSP00000307280","9606.ENSP00000400908",870
"9606.ENSP00000307280","9606.ENSP00000400908",870
"9606.ENSP00000325239","9606.ENSP00000400908",535
"9606.ENSP00000325239","9606.ENSP00000400908",535
"9606.ENSP00000341838","9606.ENSP00000400908",742
"9606.ENSP00000341838","9606.ENSP00000400908",742
"9606.ENSP00000350332","9606.ENSP00000400908",914
"9606.ENSP00000350332","9606.ENSP00000400908",914
"9606.ENSP00000354923","9606.ENSP00000400908",753
"9606.ENSP00000354923","9606.ENSP00000400908",753
"9606.ENSP00000379210","9606.ENSP00000400908",786
"9606.ENSP00000379210","9606.ENSP00000400908",786
"9606.ENSP00000216181","9606.ENSP00000407487",642
"9606.ENSP00000216181","9606.ENSP00000407487",642
"9606.ENSP00000226207","9606.ENSP00000407487",592
"9606.ENSP00000226207","9606.ENSP00000407487",592
"9606.ENSP00000262113","9606.ENSP00000407487",461
"9606.ENSP00000262113","9606.ENSP00000407487",461
"9606.ENSP00000351206","9606.ENSP00000407487",404
"9606.ENSP00000351206","9606.ENSP00000407487",404
"9606.ENSP00000394770","9606.ENSP00000407487",476
"9606.ENSP00000394770","9606.ENSP00000407487",476
"9606.ENSP00000368976","9606.ENSP00000408910",418
"9606.ENSP00000368976","9606.ENSP00000408910",418
"9606.ENSP00000379643","9606.ENSP00000408910",671
"9606.ENSP00000379643","9606.ENSP00000408910",671
"9606.ENSP00000003302","9606.ENSP00000409279",408
"9606.ENSP00000003302","9606.ENSP00000409279",408
"9606.ENSP00000003302","9606.ENSP00000427793",651
"9606.ENSP00000003302","9606.ENSP00000427793",651
"9606.ENSP00000356042","9606.ENSP00000427793",446
"9606.ENSP00000356042","9606.ENSP00000427793",446
"9606.ENSP00000232975","9606.ENSP00000431813",509
"9606.ENSP00000232975","9606.ENSP00000431813",509
"9606.ENSP00000262113","9606.ENSP00000431813",478
"9606.ENSP00000262113","9606.ENSP00000431813",478
"9606.ENSP00000284669","9606.ENSP00000431813",430
"9606.ENSP00000284669","9606.ENSP00000431813",430
"9606.ENSP00000306163","9606.ENSP00000431813",724
"9606.ENSP00000306163","9606.ENSP00000431813",724
"9606.ENSP00000307280","9606.ENSP00000431813",494
"9606.ENSP00000307280","9606.ENSP00000431813",494
"9606.ENSP00000325239","9606.ENSP00000431813",495
"9606.ENSP00000325239","9606.ENSP00000431813",495
"9606.ENSP00000341838","9606.ENSP00000431813",712
"9606.ENSP00000341838","9606.ENSP00000431813",712
"9606.ENSP00000354923","9606.ENSP00000431813",470
"9606.ENSP00000354923","9606.ENSP00000431813",470
"9606.ENSP00000363557","9606.ENSP00000431813",462
"9606.ENSP00000363557","9606.ENSP00000431813",462
"9606.ENSP00000379210","9606.ENSP00000431813",758
"9606.ENSP00000379210","9606.ENSP00000431813",758
"9606.ENSP00000380349","9606.ENSP00000431813",405
"9606.ENSP00000380349","9606.ENSP00000431813",405
"9606.ENSP00000394770","9606.ENSP00000431813",530
"9606.ENSP00000394770","9606.ENSP00000431813",530
"9606.ENSP00000400908","9606.ENSP00000431813",466
"9606.ENSP00000400908","9606.ENSP00000431813",466
"9606.ENSP00000331746","9606.ENSP00000433490",818
"9606.ENSP00000331746","9606.ENSP00000433490",818
"9606.ENSP00000357668","9606.ENSP00000440945",863
"9606.ENSP00000357668","9606.ENSP00000440945",863
"9606.ENSP00000226279","9606.ENSP00000441691",696
"9606.ENSP00000226279","9606.ENSP00000441691",696
"9606.ENSP00000261023","9606.ENSP00000441691",778
"9606.ENSP00000261023","9606.ENSP00000441691",778
"9606.ENSP00000283249","9606.ENSP00000441691",836
"9606.ENSP00000283249","9606.ENSP00000441691",836
"9606.ENSP00000299855","9606.ENSP00000441691",414
"9606.ENSP00000299855","9606.ENSP00000441691",414
"9606.ENSP00000320084","9606.ENSP00000441691",662
"9606.ENSP00000320084","9606.ENSP00000441691",662
"9606.ENSP00000380948","9606.ENSP00000441691",999
"9606.ENSP00000380948","9606.ENSP00000441691",999
"9606.ENSP00000381072","9606.ENSP00000441691",552
"9606.ENSP00000381072","9606.ENSP00000441691",552
"9606.ENSP00000216181","9606.ENSP00000443495",499
"9606.ENSP00000216181","9606.ENSP00000443495",499
"9606.ENSP00000226207","9606.ENSP00000443495",867
"9606.ENSP00000226207","9606.ENSP00000443495",867
"9606.ENSP00000232975","9606.ENSP00000443495",794
"9606.ENSP00000232975","9606.ENSP00000443495",794
"9606.ENSP00000262113","9606.ENSP00000443495",706
"9606.ENSP00000262113","9606.ENSP00000443495",706
"9606.ENSP00000263918","9606.ENSP00000443495",504
"9606.ENSP00000263918","9606.ENSP00000443495",504
"9606.ENSP00000306163","9606.ENSP00000443495",481
"9606.ENSP00000306163","9606.ENSP00000443495",481
"9606.ENSP00000307280","9606.ENSP00000443495",860
"9606.ENSP00000307280","9606.ENSP00000443495",860
"9606.ENSP00000325239","9606.ENSP00000443495",659
"9606.ENSP00000325239","9606.ENSP00000443495",659
"9606.ENSP00000341838","9606.ENSP00000443495",884
"9606.ENSP00000341838","9606.ENSP00000443495",884
"9606.ENSP00000350332","9606.ENSP00000443495",760
"9606.ENSP00000350332","9606.ENSP00000443495",760
"9606.ENSP00000354923","9606.ENSP00000443495",729
"9606.ENSP00000354923","9606.ENSP00000443495",729
"9606.ENSP00000356042","9606.ENSP00000443495",923
"9606.ENSP00000356042","9606.ENSP00000443495",923
"9606.ENSP00000357668","9606.ENSP00000443495",878
"9606.ENSP00000357668","9606.ENSP00000443495",878
"9606.ENSP00000360293","9606.ENSP00000443495",553
"9606.ENSP00000360293","9606.ENSP00000443495",553
"9606.ENSP00000379210","9606.ENSP00000443495",887
"9606.ENSP00000379210","9606.ENSP00000443495",887
"9606.ENSP00000383023","9606.ENSP00000443495",413
"9606.ENSP00000383023","9606.ENSP00000443495",413
"9606.ENSP00000394770","9606.ENSP00000443495",708
"9606.ENSP00000394770","9606.ENSP00000443495",708
"9606.ENSP00000400908","9606.ENSP00000443495",767
"9606.ENSP00000400908","9606.ENSP00000443495",767
"9606.ENSP00000431813","9606.ENSP00000443495",886
"9606.ENSP00000431813","9606.ENSP00000443495",886
"9606.ENSP00000368389","9606.ENSP00000449960",514
"9606.ENSP00000368389","9606.ENSP00000449960",514
"9606.ENSP00000331746","9606.ENSP00000463653",452
"9606.ENSP00000331746","9606.ENSP00000463653",452
"9606.ENSP00000349594","9606.ENSP00000463653",546
"9606.ENSP00000349594","9606.ENSP00000463653",546
"9606.ENSP00000379472","9606.ENSP00000463653",464
"9606.ENSP00000379472","9606.ENSP00000463653",464
"9606.ENSP00000441691","9606.ENSP00000463653",690
"9606.ENSP00000441691","9606.ENSP00000463653",690
"9606.ENSP00000324729","9606.ENSP00000465039",436
"9606.ENSP00000324729","9606.ENSP00000465039",436
"9606.ENSP00000351908","9606.ENSP00000465039",902
"9606.ENSP00000351908","9606.ENSP00000465039",902
"9606.ENSP00000331746","9606.ENSP00000466009",609
"9606.ENSP00000331746","9606.ENSP00000466009",609
"9606.ENSP00000379472","9606.ENSP00000466009",857
"9606.ENSP00000379472","9606.ENSP00000466009",857
"9606.ENSP00000216181","9606.ENSP00000467141",706
"9606.ENSP00000216181","9606.ENSP00000467141",706
"9606.ENSP00000226207","9606.ENSP00000467141",744
"9606.ENSP00000226207","9606.ENSP00000467141",744
"9606.ENSP00000232975","9606.ENSP00000467141",852
"9606.ENSP00000232975","9606.ENSP00000467141",852
"9606.ENSP00000255416","9606.ENSP00000467141",455
"9606.ENSP00000255416","9606.ENSP00000467141",455
"9606.ENSP00000260950","9606.ENSP00000467141",434
"9606.ENSP00000260950","9606.ENSP00000467141",434
"9606.ENSP00000262113","9606.ENSP00000467141",814
"9606.ENSP00000262113","9606.ENSP00000467141",814
"9606.ENSP00000284669","9606.ENSP00000467141",409
"9606.ENSP00000284669","9606.ENSP00000467141",409
"9606.ENSP00000306163","9606.ENSP00000467141",967
"9606.ENSP00000306163","9606.ENSP00000467141",967
"9606.ENSP00000307280","9606.ENSP00000467141",974
"9606.ENSP00000307280","9606.ENSP00000467141",974
"9606.ENSP00000325239","9606.ENSP00000467141",705
"9606.ENSP00000325239","9606.ENSP00000467141",705
"9606.ENSP00000336775","9606.ENSP00000467141",649
"9606.ENSP00000336775","9606.ENSP00000467141",649
"9606.ENSP00000341838","9606.ENSP00000467141",909
"9606.ENSP00000341838","9606.ENSP00000467141",909
"9606.ENSP00000350332","9606.ENSP00000467141",710
"9606.ENSP00000350332","9606.ENSP00000467141",710
"9606.ENSP00000351206","9606.ENSP00000467141",437
"9606.ENSP00000351206","9606.ENSP00000467141",437
"9606.ENSP00000354923","9606.ENSP00000467141",905
"9606.ENSP00000354923","9606.ENSP00000467141",905
"9606.ENSP00000379210","9606.ENSP00000467141",899
"9606.ENSP00000379210","9606.ENSP00000467141",899
"9606.ENSP00000380349","9606.ENSP00000467141",997
"9606.ENSP00000380349","9606.ENSP00000467141",997
"9606.ENSP00000383023","9606.ENSP00000467141",647
"9606.ENSP00000383023","9606.ENSP00000467141",647
"9606.ENSP00000394770","9606.ENSP00000467141",981
"9606.ENSP00000394770","9606.ENSP00000467141",981
"9606.ENSP00000400908","9606.ENSP00000467141",763
"9606.ENSP00000400908","9606.ENSP00000467141",763
"9606.ENSP00000407487","9606.ENSP00000467141",552
"9606.ENSP00000407487","9606.ENSP00000467141",552
"9606.ENSP00000431813","9606.ENSP00000467141",966
"9606.ENSP00000431813","9606.ENSP00000467141",966
"9606.ENSP00000443495","9606.ENSP00000467141",999
"9606.ENSP00000443495","9606.ENSP00000467141",999
"9606.ENSP00000306900","9606.ENSP00000468500",433
"9606.ENSP00000306900","9606.ENSP00000468500",433
"9606.ENSP00000349594","9606.ENSP00000468500",496
"9606.ENSP00000349594","9606.ENSP00000468500",496
"9606.ENSP00000358107","9606.ENSP00000468500",482
"9606.ENSP00000358107","9606.ENSP00000468500",482
"9606.ENSP00000379472","9606.ENSP00000468500",430
"9606.ENSP00000379472","9606.ENSP00000468500",430
"9606.ENSP00000441691","9606.ENSP00000468500",770
"9606.ENSP00000441691","9606.ENSP00000468500",770
"9606.ENSP00000463653","9606.ENSP00000468500",934
"9606.ENSP00000463653","9606.ENSP00000468500",934
"9606.ENSP00000331746","9606.ENSP00000477999",486
"9606.ENSP00000331746","9606.ENSP00000477999",486
"9606.ENSP00000341838","9606.ENSP00000477999",909
"9606.ENSP00000341838","9606.ENSP00000477999",909
"9606.ENSP00000351908","9606.ENSP00000477999",572
"9606.ENSP00000351908","9606.ENSP00000477999",572
"9606.ENSP00000354923","9606.ENSP00000477999",997
"9606.ENSP00000354923","9606.ENSP00000477999",997
"9606.ENSP00000357668","9606.ENSP00000477999",419
"9606.ENSP00000357668","9606.ENSP00000477999",419
"9606.ENSP00000379472","9606.ENSP00000477999",404
"9606.ENSP00000379472","9606.ENSP00000477999",404
"9606.ENSP00000463653","9606.ENSP00000477999",492
"9606.ENSP00000463653","9606.ENSP00000477999",492
"9606.ENSP00000468500","9606.ENSP00000477999",495
"9606.ENSP00000468500","9606.ENSP00000477999",495
"9606.ENSP00000244051","9606.ENSP00000478417",602
"9606.ENSP00000244051","9606.ENSP00000478417",602
"9606.ENSP00000362817","9606.ENSP00000482169",407
"9606.ENSP00000362817","9606.ENSP00000482169",407
"9606.ENSP00000443495","9606.ENSP00000482169",587
"9606.ENSP00000443495","9606.ENSP00000482169",587
"9606.ENSP00000463653","9606.ENSP00000482169",548
"9606.ENSP00000463653","9606.ENSP00000482169",548
"9606.ENSP00000468500","9606.ENSP00000482169",662
"9606.ENSP00000468500","9606.ENSP00000482169",662
"9606.ENSP00000216181","9606.ENSP00000484342",523
