"protein","-15.5","-14.5","-13.5","-12.5","-11.5","-10.5","-9.5","-8.5","-7.5","-6.5","-5.5","-4.5","-3.5","-2.5","-1.5","-0.5","start_year","dir","label","cluster_color","P_value","Adj_P_value"
"DMD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.540972377516313,0.68542962105849,0.847139875627987,1.00891851140081,1.18103883004888,-4.8,"increase","3","#b24d00",0,0
"RGMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclustered","#D3D3D3",0.685374109166212,0.745208356791834
"THBS4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","#7bb200",0.0373834745087002,0.0775990304195747
"MYBPC2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.682065911635713,0.72934498519518,0.84441968086286,1.04015822644212,-4,"increase","Skeletal muscle","#ff0000",0.000136441543889032,0.000718941981261438
"TRAF2",1.1654617426875,1.13299747096962,1.10025480140802,1.06685290125891,1.03300427143804,1.00087354805018,0.9743080797255,0.95759547092121,0.953917994286303,0.964850147855883,0.990654458853132,1.03089076010219,1.08415169582522,1.14741477284243,1.21720734703446,1.29448741328176,-16,"increase","TNF receptor / JNK signaling activation","#ff8765",0.109817844632389,0.194221633367983
"USP28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.483335379891635,0.533280898150718,0.591203636211046,0.651220127242432,0.714790658276293,-4.8,"increase","10","#6bff65",0.00693261596097922,0.0181447866479533
"MYOM2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.685975110720262,0.767249402577812,0.852801288908504,0.942630769982447,-3.9,"increase","Skeletal muscle","#ff0000",0.0013301485552194,0.0044446427332941
"MYH1",-1.49494362324472,-1.30632231178461,-1.12421420838193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.821219826672225,0.825015864968043,0.820672816429156,-16,"decrease","Skeletal muscle","#ff0000",2.06990133595486e-05,0.000157542490569898
"KLK8",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.277019270245843,0.29836100854496,0.318900217913886,0.313780933284243,0.281224667015305,0.253350598807486,NA,-6.2,"increase","Unclustered","#D3D3D3",0.31176361202232,0.392441848341242
"TNFRSF12A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31602814607062,0.334588339947411,0.355210777324205,0.375833214451875,0.397486773358947,-4.8,"increase","TNF receptor / JNK signaling activation","#ff8765",0.18196643948879,0.283288661476866
"MYOC",-0.97764577951797,-0.941172246347873,-0.903792520734118,-0.863494170352848,-0.818136136127583,-0.767053787111776,-0.711244176087735,-0.652867600688198,-0.594913850700295,-0.541215719641363,-0.506157751959133,NA,NA,NA,NA,NA,-16,"decrease","Regeneration (mixed)","#f1ff65",0.220662417005178,0.31277729852581
"TRAK1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.519455596461771,0.63113435792798,0.798127269138782,0.979638299070619,-3.4,"increase","9","#2db200",2.36628182853083e-05,0.00017062137395196
"PPY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","#9475ef",0.032064150549291,0.068637322269576
"TTN",-0.551679177237439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.386331156742836,0.455362220811546,0.536575237135652,0.617788253231875,0.703061920113027,-16,"decrease","Skeletal muscle","#ff0000",7.16167580944171e-06,6.13218491183447e-05
"PRND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.419370945923909,0.460044594724407,0.517383353952564,0.586195458425467,-3.8,"increase","Unclustered","#D3D3D3",0.177022335870139,0.28200069783964
"RBP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.313904382293115,0.322558203680929,0.336981231073855,0.351404247899403,0.365827254921584,0.380971405171198,-5.2,"increase","Regeneration (mixed)","#f1ff65",0.418204737872133,0.49391421628002
"COMP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","#7bb200",0.264448557255753,0.345042403276554
"PTGES2",NA,NA,NA,NA,NA,NA,0.407335410645793,0.478838171992725,0.550340933385667,0.621843694838489,0.693346456363016,0.764849217967418,0.836351979648581,0.907854741387166,0.979357503154659,1.05443540301473,-10,"increase","4","#ffca65",0.00310233529257786,0.00904297734219505
"MYH9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.591261885894163,0.669204551211365,0.76878149909219,0.868868492790349,0.973450017798539,-4.6,"increase","11","#75c0ef",0.00234933407151366,0.0074850876231947
"FABP3",NA,NA,NA,NA,NA,NA,NA,NA,0.326099387725216,0.359472944774565,0.411973989592301,0.448408583366498,0.46741054971099,0.471689377460251,0.465979428112983,0.458983639960942,-7.1,"increase","22","#ef7590",0.0455124430695129,0.0903652855148299
"ELAVL4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TGFβ activation","#aeff65",0.630062625826184,0.701777071042173
"SYNM",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.418298987584617,0.481999406528789,0.561624930155905,0.641250453862324,0.720875977833959,0.800501502106976,0.884108302813967,-6.6,"increase","3","#b24d00",0,0
"ENPP5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclustered","#D3D3D3",0.683770682530883,0.745208356791834
"MMP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Extracellular matrix","#b29b00",0.0424364423865672,0.0854969501023487
"IGFBP6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.273743660378545,0.296182814287293,0.322361824767084,-2.8,"increase","Unclustered","#D3D3D3",0.037963678445006,0.0776272230890421
"IGFL3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclustered","#D3D3D3",0.573609714330815,0.644135498879685
"KLHL41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301668001694256,0.330517428110889,0.378599805291647,0.426682182194837,0.474764558843078,0.525251054182238,-5.2,"increase","Skeletal muscle","#ff0000",0.000882374287806409,0.00309962249819174
"MSTN",0.360753508062562,0.354949160223195,0.348065589925676,0.341105033460257,0.334187958392581,0.327625474851441,0.321721145199712,0.316617940864477,0.31242640879605,0.309343580035259,0.307674936070864,0.307730299334653,0.309792796201332,0.314092912491365,0.320394478883125,0.328153376894377,-15.7,"increase","3","#b24d00",0.84430304140396,0.869695614077763
"NFAT5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.434154124405597,0.543559211476269,0.660679511643251,0.784284686575066,-3.9,"increase","TNF receptor / JNK signaling activation","#ff8765",2.99717920108078e-05,0.000202836903358605
"CAPN3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.265153972619704,0.288433219675541,0.317189936941833,-2.7,"increase","Skeletal muscle","#ff0000",0.00307851746743865,0.00904297734219505
"DUSP29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.629470035573393,-0.799999999999999,"increase","Unclustered","#D3D3D3",0.00401951760234676,0.011472373156698
"CALCB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","#ef75e0",0.00176931070722636,0.00577132302119074
"ITGB6",NA,NA,NA,0.345725026003282,0.36751155757907,0.390096609959572,0.410515327052325,0.428674556808173,0.443649136522715,0.45402984310419,0.457199481883992,0.450351623717635,0.434038092594351,0.412995317821571,0.391154366521005,0.368645676927933,-12.7,"increase","7","#7bb200",0.393714055889858,0.469033266581831
"OGN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Extracellular matrix","#b29b00",0.459025884772378,0.532936832320472
"ITGAV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","#7bb200",0.0525050548234461,0.102759893011602
"FABP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Regeneration (mixed)","#f1ff65",0.32403219430782,0.403567369274285
"ADAMTSL5",-0.593078207652051,-0.547238570702227,-0.501308853617772,-0.454809777209665,-0.406954392138368,-0.357438624425572,-0.32728876447811,NA,NA,NA,NA,NA,NA,NA,NA,-0.303621392422699,-16,"decrease","Unclustered","#D3D3D3",0.150895392680336,0.243207868202424
"IRAG2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.815711498897426,1.07336256624024,1.37061098642184,-2.8,"increase","Unclustered","#D3D3D3",0,0
"IFT172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.242074301429455,0.264674405666982,-1.5,"increase","20","#ef75c5",0.110578740165713,0.194221633367983
"ITGB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","#ffca65",0.224703128301393,0.31277729852581
"SORBS1",NA,NA,NA,NA,NA,NA,0.235186836743522,0.25963307236525,0.282356276360356,0.3019788975125,0.318540553887504,0.33222546957596,0.343888006563987,0.354849200992211,0.366216927348083,0.379562350653925,-9.9,"increase","14","#7975ef",0.143219405144738,0.236398295238905
"PPFIBP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.528142171978917,0.616728707383085,0.716989823233053,0.824929682369202,0.94248808933741,-5,"increase","12","#75a6ef",0.07200419488614,0.131527662658682
"MYL5",NA,NA,0.682773035749001,0.684577026099758,0.687352395845168,0.690127765533994,0.692903135096826,0.695678504381449,0.698453873133801,0.701229241085263,0.70400460821498,0.706779974751752,0.709555341017775,0.712330707291685,0.715106073644438,0.718020208293909,-13.3,"increase","Skeletal muscle","#ff0000",0.922132913595668,0.935794141945234
"SPINK7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclustered","#D3D3D3",0.714311191426822,0.764536197074021
"PHOSPHO1",NA,NA,NA,NA,NA,NA,NA,0.201158647373004,0.222726577324014,0.245429660879266,0.268132743576325,0.290835825372091,0.313538906490147,0.336241987306839,0.358945068057084,0.382783302884526,-8.9,"increase","Unclustered","#D3D3D3",0.00023984503533836,0.00109529232804518
"CALCOCO1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.722916197020375,0.858385872799886,1.00302627546807,1.15044573646305,1.29570358569782,1.44528381309016,-6,"increase","Unclustered","#D3D3D3",0.0029600115249383,0.00901159064258993
"FYCO1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.683198807347377,0.797750770075548,0.961921189625884,1.13953363184599,1.3178127043927,1.48761077075256,1.65717201437064,-6.6,"increase","Unclustered","#D3D3D3",0.000666365289901993,0.0024024222293835
"MSANTD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37862687510143,0.413203058198378,0.470830031575822,0.528457004543142,0.586083975007515,0.64659229184149,-5.2,"increase","Unclustered","#D3D3D3",0.021316820482619,0.0478754820675214
"KIFC3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.673792741274914,0.778612976664958,0.973548777739102,1.16989377159429,1.37503190740039,-4.1,"increase","9","#2db200",0.000389226358682437,0.00156835326880864
"PACSIN3",NA,NA,NA,NA,NA,NA,0.598712723738603,0.660115381125524,0.738319234926763,0.798257040340653,0.846057281434147,0.888325265739646,0.927452881759347,0.96116983761511,0.987672077077956,1.00856646650236,-9.3,"increase","13","#758bef",0.0581520491304223,0.107659874741457
"TNNI3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Skeletal muscle","#ff0000",0.202516041389741,0.29833008247736
"PDZD2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.459652019205689,0.533922932734215,0.682953641300057,0.845678990318543,1.02482286456244,-4.1,"increase","14","#7975ef",0.000206359791799782,0.000974872119881727
"SERPINB8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.407219839550607,0.495424577586089,0.605680500249221,0.715936422967703,0.826192345677174,0.941961064497928,-5.6,"increase","Unclustered","#D3D3D3",0.000600597330080055,0.00222383335732345
"CRTAC1",NA,NA,NA,NA,NA,NA,NA,0.255761064525419,0.277936403744999,0.293529891953416,0.298669028643346,0.290493038280287,0.270208460318581,0.241067086364105,0.218394305856444,NA,-9,"increase","Unclustered","#D3D3D3",0.24445669869188,0.325151142920268
"SMTN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.754902501111509,0.961478339207658,1.19110475476177,1.43299214262277,-3.8,"increase","3","#b24d00",6.34610835548166e-07,9.66018716334431e-06
"IDI2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclustered","#D3D3D3",0.243822615382788,0.325151142920268
"STX4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.441985606883651,0.54909828097376,0.713929686806651,0.885466884768828,-3.3,"increase","17","#c975ef",0,0
"MOCS3",NA,NA,NA,NA,NA,NA,NA,NA,0.398037191337674,0.405462055786135,0.416069004756563,0.426675953508598,0.437282902218529,0.447889851009546,0.458496799768752,0.469634095751831,-7.4,"increase","16","#af75ef",0.667847332166651,0.73786358473251
"CCN3",NA,NA,NA,NA,NA,NA,NA,NA,0.300602209193648,0.315669592082111,0.330736974779931,0.345804357042794,0.36087173878753,0.375939120032605,0.391006500807213,0.406827250408939,-8,"increase","Extracellular matrix","#b29b00",0.327061052215001,0.403669947328424
"EIF2AK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.638327515035567,0.765014377542287,1.00248670569654,1.24754530636752,1.51073771251128,-4.1,"increase","TNF receptor / JNK signaling activation","#ff8765",2.76203976873335e-06,2.86321191934336e-05
"APOA4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Regeneration (mixed)","#f1ff65",0.788537482166963,0.824653702724228
"PBXIP1",NA,NA,NA,NA,NA,NA,NA,0.161941970938193,0.190285825784341,0.222011635788295,0.228382739227505,0.214118115753238,0.191537912908285,0.181216836507755,0.197602687030317,0.231796080579321,-8.2,"increase","Unclustered","#D3D3D3",0.195373538861232,0.29332876509479
"CD38",NA,NA,NA,NA,0.254220265361103,0.268323213157235,0.287127143697695,0.305931074357479,0.324735005041587,0.343538935658939,0.362342866170899,0.381146796600332,0.399950727049907,0.418754657667337,0.437558588503705,0.457302716048722,-11.5,"increase","4","#ffca65",0.0145553097280156,0.033797922588782
"COL6A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.270909156858314,0.288988185404263,0.308018741459725,0.327049297233706,0.347031380669615,-4.9,"increase","Extracellular matrix","#b29b00",0.206224003697432,0.299370605624738
"KISS1",0.964658699007695,0.747403325740997,0.532150532558103,0.406678849657653,NA,NA,NA,NA,NA,0.285261629110644,0.312660791382914,0.33348066515239,0.349659969962972,0.351453830306596,0.30562721611538,0.256299120249833,-16,"increase","15","#9475ef",0.137041841076062,0.230031038038908
"NOS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.383969108401084,0.444843152632455,0.513137806031842,0.585404359315217,-3.8,"increase","3","#b24d00",2.22868974147916e-06,2.54442078818871e-05
"NGRN",NA,NA,NA,NA,NA,NA,NA,0.406733477008088,0.48199443574898,0.570536738170125,0.659079038796887,0.747621338862731,0.8361636397819,0.924705942572746,1.01324824749834,1.10621766920022,-8.7,"increase","Unclustered","#D3D3D3",3.10917881060635e-05,0.000202836903358605
"ENDOU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclustered","#D3D3D3",0.536751376196268,0.61279115449074
"PRKN",NA,NA,NA,0.31277818484398,0.331770795833321,0.352873696924796,0.373976598007934,0.395079499083988,0.4161824001478,0.437285301186205,0.458388202185848,0.479491103139283,0.500594004047054,0.521696904917606,0.542799805765142,0.564957851645435,-12.8,"increase","TNF receptor / JNK signaling activation","#ff8765",0.179974422265244,0.283288661476866
"PPFIA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.353676102525075,0.3762082632963,0.402716688345636,0.429225113914418,0.455733539711432,0.482241965588403,0.510075812817554,-6.7,"increase","12","#75a6ef",0.137682811088981,0.230031038038908
"IL32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclustered","#D3D3D3",0.706344958573302,0.76196267184679
"KLK15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclustered","#D3D3D3",0.146313122008368,0.238629734704125
"MAP3K5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.904523916180588,1.1359889065041,1.3769826787071,-3,"increase","TNF receptor / JNK signaling activation","#ff8765",1.7290338099607e-06,2.15343301786015e-05
"ADAM12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.416314958990371,-1,"increase","13","#758bef",0.0962223634685384,0.173453470989339
"TAX1BP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.493981602771072,0.591207860634919,0.72454799303953,0.858593775878249,0.998135257397794,-4.5,"increase","TNF receptor / JNK signaling activation","#ff8765",0.000187251752245265,0.000916196073485763
"TRAFD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.402469891726546,0.453563919780713,0.538723205801185,0.623884369316385,0.709045390998622,0.794204861749111,0.883620417255109,-6.2,"increase","Unclustered","#D3D3D3",0.0109134666793404,0.0265094489504294
"SAV1",NA,NA,NA,NA,NA,0.417238906208082,0.436510140171529,0.46615819200106,0.495806243433629,0.525454294686354,0.555102345986194,0.584750397515086,0.614398449290637,0.644046501076046,0.673694552492017,0.704825005922668,-10.3,"increase","18","#e475ef",0.256236336353832,0.337542096927644
"JCAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14912611241161,1.28838844358598,1.50263818369242,1.71688792272565,1.93113766030835,2.15609988393401,-5.3,"increase","Unclustered","#D3D3D3",7.07497825896408e-05,0.000421422618033947
"CAP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.513523020485608,0.549560320824702,0.600106141823568,0.649908999935424,0.699080721658977,0.750233173324965,-5.4,"increase","Unclustered","#D3D3D3",2.92590999056985e-06,2.86321191934336e-05
"CLEC4G",-0.872608389352748,NA,NA,0.454600289130475,0.508568088869469,0.441196519136497,0.367559366696903,0.352940839540488,0.419948550105739,0.514352856082573,0.561056428800855,0.521362266507015,0.440754879155433,0.400767524702791,0.410150972249108,0.468600016754567,-16,"decrease","Unclustered","#D3D3D3",0.0532787864760153,0.10280554573541
"MELTF",NA,NA,NA,NA,NA,NA,-0.33186977948125,-0.331945977019984,-0.332026184960247,-0.332106392941691,-0.332186601044199,-0.332266809373106,-0.332347017977528,-0.332427226870692,-0.332507436058587,-0.33259165586189,-9.9,"decrease","Unclustered","#D3D3D3",0.995060889291324,0.995060889291324
"MPHOSPH9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.349332155276011,0.425680563088717,0.522227259846457,0.627232501256324,-3.6,"increase","Unclustered","#D3D3D3",0.000376718530513465,0.00156835326880864
"NDE1",0.538905583594862,0.528795595485736,0.518685607414177,0.508575619434277,0.498465631581796,0.488355643882624,0.478245656388411,0.468135669127188,0.458025681910088,0.447915694327469,0.43780570601364,0.427695716764147,0.41758572649381,0.407475735234804,0.397365743173427,0.386750250947214,-16,"increase","9","#2db200",0.57322221032535,0.644135498879685
"KRI1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclustered","#D3D3D3",0.291422836697705,0.373130174089585
"RAD51AP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclustered","#D3D3D3",0.523092129269686,0.60221530848695
"CA14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclustered","#D3D3D3",0.0552693441632499,0.105165279866184
