Protein,AUC,Index,Model,T,Onset,Scale,MaxFlag
CORO6,0.869,85,SVM,1,_first_onset,,NA
DCTN2,0.866,86,SVM,1,_first_onset,,NA
HSPB6,0.864,87,SVM,1,_first_onset,,NA
MAP3K5,0.863,88,SVM,1,_first_onset,,NA
PPP6R2,0.862,89,SVM,1,_first_onset,,NA
CCK,0.861,90,SVM,1,_first_onset,,NA
IRAG2,0.859,91,SVM,1,_first_onset,,NA
EIF2AK3,0.858,92,SVM,1,_first_onset,,NA
FYCO1,0.857,93,SVM,1,_first_onset,,NA
PTGES2,0.855,94,SVM,1,_first_onset,,NA
THBS4,0.854,95,SVM,1,_first_onset,,NA
SMTN,0.852,96,SVM,1,_first_onset,,NA
TAX1BP1,0.851,97,SVM,1,_first_onset,,NA
SIKE1,0.849,98,SVM,1,_first_onset,,NA
STRN,0.848,99,SVM,1,_first_onset,,NA
DMD,0.846,100,SVM,1,_first_onset,,NA
JCAD,0.845,101,SVM,1,_first_onset,,NA
MYH9,0.844,102,SVM,1,_first_onset,,NA
APOA4,0.844,103,SVM,1,_first_onset,,NA
STX4,0.843,104,SVM,1,_first_onset,,NA
MSTN,0.843,105,SVM,1,_first_onset,,NA
SAV1,0.842,106,SVM,1,_first_onset,,NA
PPFIA4,0.841,107,SVM,1,_first_onset,,NA
ART3,0.84,108,SVM,1,_first_onset,,NA
SDCCAG8,0.839,109,SVM,1,_first_onset,,NA
MPHOSPH9,0.838,110,SVM,1,_first_onset,,NA
CALCOCO1,0.838,111,SVM,1,_first_onset,,NA
GOLGA4,0.836,112,SVM,1,_first_onset,,NA
WASF3,0.836,113,SVM,1,_first_onset,,NA
UNC45A,0.835,114,SVM,1,_first_onset,,NA
PPFIBP1,0.834,115,SVM,1,_first_onset,,NA
TXLNB,0.832,116,SVM,1,_first_onset,,NA
TRAF2,0.831,117,SVM,1,_first_onset,,NA
ENDOU,0.83,118,SVM,1,_first_onset,,NA
PACSIN3,0.829,119,SVM,1,_first_onset,,NA
KIFC3,0.828,120,SVM,1,_first_onset,,NA
MSANTD3,0.826,121,SVM,1,_first_onset,,NA
EZR,0.824,122,SVM,1,_first_onset,,NA
HPCAL4,0.823,123,SVM,1,_first_onset,,NA
CAP2,0.822,124,SVM,1,_first_onset,,NA
MYBPC2,0.82,125,SVM,1,_first_onset,,NA
TNNI3,0.818,126,SVM,1,_first_onset,,NA
SERPINB8,0.815,127,SVM,1,_first_onset,,NA
ITGB6,0.813,128,SVM,1,_first_onset,,NA
CMYA5,0.81,129,SVM,1,_first_onset,,NA
OTUD4,0.807,130,SVM,1,_first_onset,,NA
AFAP1L1,0.806,131,SVM,1,_first_onset,,NA
RAD51AP2,0.802,132,SVM,1,_first_onset,,NA
SORBS1,0.798,133,SVM,1,_first_onset,,NA
IL32,0.794,134,SVM,1,_first_onset,,NA
ELAVL4,0.79,135,SVM,1,_first_onset,,NA
MYL5,0.785,136,SVM,1,_first_onset,,NA
ENPP5,0.779,137,SVM,1,_first_onset,,NA
NEFL,0.737,1,SVM,2,_first_onset,,NA
CALCB,0.808,2,SVM,2,_first_onset,,NA
EDA2R,0.842,3,SVM,2,_first_onset,,NA
CD38,0.861,4,SVM,2,_first_onset,,NA
CALCA,0.871,5,SVM,2,_first_onset,,NA
MMP3,0.884,6,SVM,2,_first_onset,,NA
UNC45A,0.889,7,SVM,2,_first_onset,,NA
CA3,0.893,8,SVM,2,_first_onset,,NA
NDE1,0.9,9,SVM,2,_first_onset,,NA
NFAT5,0.912,10,SVM,2,_first_onset,,NA
CAP2,0.918,11,SVM,2,_first_onset,,NA
TNFRSF12A,0.919,12,SVM,2,_first_onset,,MAX
EPHA1,0.919,13,SVM,2,_first_onset,,MAX
IL32,0.916,14,SVM,2,_first_onset,,NA
MEGF10,0.913,15,SVM,2,_first_onset,,NA
COL6A3,0.913,16,SVM,2,_first_onset,,NA
IGFBP6,0.911,17,SVM,2,_first_onset,,NA
DUSP29,0.911,18,SVM,2,_first_onset,,NA
NEB,0.91,19,SVM,2,_first_onset,,NA
PPFIA1,0.912,20,SVM,2,_first_onset,,NA
MYOC,0.911,21,SVM,2,_first_onset,,NA
STX4,0.91,22,SVM,2,_first_onset,,NA
CRTAC1,0.909,23,SVM,2,_first_onset,,NA
OGN,0.908,24,SVM,2,_first_onset,,NA
KLK15,0.908,25,SVM,2,_first_onset,,NA
MYL3,0.911,26,SVM,2,_first_onset,,NA
CA14,0.912,27,SVM,2,_first_onset,,NA
CLEC4G,0.912,28,SVM,2,_first_onset,,NA
KISS1,0.914,29,SVM,2,_first_onset,,NA
PBXIP1,0.914,30,SVM,2,_first_onset,,NA
FABP3,0.914,31,SVM,2,_first_onset,,NA
JCAD,0.914,32,SVM,2,_first_onset,,NA
IGFL3,0.913,33,SVM,2,_first_onset,,NA
GFAP,0.913,34,SVM,2,_first_onset,,NA
TNNC1,0.912,35,SVM,2,_first_onset,,NA
RGMA,0.911,36,SVM,2,_first_onset,,NA
CCN3,0.91,37,SVM,2,_first_onset,,NA
TRAFD1,0.908,38,SVM,2,_first_onset,,NA
KLK4,0.907,39,SVM,2,_first_onset,,NA
SIKE1,0.908,40,SVM,2,_first_onset,,NA
MTSS1,0.907,41,SVM,2,_first_onset,,NA
PPFIA4,0.905,42,SVM,2,_first_onset,,NA
MSTN,0.904,43,SVM,2,_first_onset,,NA
DTNB,0.903,44,SVM,2,_first_onset,,NA
POSTN,0.901,45,SVM,2,_first_onset,,NA
TNNI3,0.899,46,SVM,2,_first_onset,,NA
IQGAP2,0.897,47,SVM,2,_first_onset,,NA
RAD51AP2,0.897,48,SVM,2,_first_onset,,NA
MYOM2,0.896,49,SVM,2,_first_onset,,NA
MYH1,0.896,50,SVM,2,_first_onset,,NA
CELSR2,0.894,51,SVM,2,_first_onset,,NA
CALCOCO1,0.892,52,SVM,2,_first_onset,,NA
KLK8,0.891,53,SVM,2,_first_onset,,NA
MYOM3,0.888,54,SVM,2,_first_onset,,NA
TRAK1,0.886,55,SVM,2,_first_onset,,NA
ALDH3A1,0.885,56,SVM,2,_first_onset,,NA
FYCO1,0.883,57,SVM,2,_first_onset,,NA
TAX1BP1,0.881,58,SVM,2,_first_onset,,NA
IFT172,0.878,59,SVM,2,_first_onset,,NA
NGRN,0.877,60,SVM,2,_first_onset,,NA
TRAF2,0.876,61,SVM,2,_first_onset,,NA
PPP6R2,0.875,62,SVM,2,_first_onset,,NA
SAV1,0.873,63,SVM,2,_first_onset,,NA
SDCCAG8,0.87,64,SVM,2,_first_onset,,NA
OTUD4,0.867,65,SVM,2,_first_onset,,NA
DCTN2,0.865,66,SVM,2,_first_onset,,NA
ITGAV,0.863,67,SVM,2,_first_onset,,NA
CSRP3,0.86,68,SVM,2,_first_onset,,NA
ITGAM,0.857,69,SVM,2,_first_onset,,NA
STRN,0.856,70,SVM,2,_first_onset,,NA
IRAG2,0.853,71,SVM,2,_first_onset,,NA
MYBPC1,0.849,72,SVM,2,_first_onset,,NA
EZR,0.846,73,SVM,2,_first_onset,,NA
KIFC3,0.844,74,SVM,2,_first_onset,,NA
KRI1,0.84,75,SVM,2,_first_onset,,NA
ENDOU,0.841,76,SVM,2,_first_onset,,NA
CCK,0.841,77,SVM,2,_first_onset,,NA
THBS4,0.839,78,SVM,2,_first_onset,,NA
EIF2AK3,0.839,79,SVM,2,_first_onset,,NA
SMTN,0.837,80,SVM,2,_first_onset,,NA
COMP,0.835,81,SVM,2,_first_onset,,NA
USP28,0.834,82,SVM,2,_first_onset,,NA
MSANTD3,0.832,83,SVM,2,_first_onset,,NA
CD276,0.831,84,SVM,2,_first_onset,,NA
MAP3K5,0.829,85,SVM,2,_first_onset,,NA
ITGB2,0.826,86,SVM,2,_first_onset,,NA
SYNM,0.824,87,SVM,2,_first_onset,,NA
HSPB6,0.822,88,SVM,2,_first_onset,,NA
PDZD2,0.82,89,SVM,2,_first_onset,,NA
MYH9,0.819,90,SVM,2,_first_onset,,NA
MAP4K1,0.816,91,SVM,2,_first_onset,,NA
IDI2,0.813,92,SVM,2,_first_onset,,NA
PPFIBP1,0.811,93,SVM,2,_first_onset,,NA
HS6ST2,0.808,94,SVM,2,_first_onset,,NA
CORO6,0.807,95,SVM,2,_first_onset,,NA
APOA4,0.805,96,SVM,2,_first_onset,,NA
DMD,0.803,97,SVM,2,_first_onset,,NA
NOS1,0.801,98,SVM,2,_first_onset,,NA
MPHOSPH9,0.799,99,SVM,2,_first_onset,,NA
ADAMTSL5,0.797,100,SVM,2,_first_onset,,NA
PTGES2,0.796,101,SVM,2,_first_onset,,NA
TTN,0.793,102,SVM,2,_first_onset,,NA
MOCS3,0.791,103,SVM,2,_first_onset,,NA
MYL11,0.789,104,SVM,2,_first_onset,,NA
KLHL41,0.787,105,SVM,2,_first_onset,,NA
ART3,0.785,106,SVM,2,_first_onset,,NA
ACTN2,0.782,107,SVM,2,_first_onset,,NA
RBP2,0.781,108,SVM,2,_first_onset,,NA
AFAP1L1,0.779,109,SVM,2,_first_onset,,NA
PHOSPHO1,0.776,110,SVM,2,_first_onset,,NA
WWP1,0.773,111,SVM,2,_first_onset,,NA
MYBPC2,0.769,112,SVM,2,_first_onset,,NA
CAPN3,0.767,113,SVM,2,_first_onset,,NA
MYL1,0.766,114,SVM,2,_first_onset,,NA
TXLNB,0.763,115,SVM,2,_first_onset,,NA
FABP2,0.76,116,SVM,2,_first_onset,,NA
CMYA5,0.757,117,SVM,2,_first_onset,,NA
PRKN,0.754,118,SVM,2,_first_onset,,NA
ITGB6,0.751,119,SVM,2,_first_onset,,NA
PPY,0.749,120,SVM,2,_first_onset,,NA
FGFBP1,0.746,121,SVM,2,_first_onset,,NA
WASF3,0.743,122,SVM,2,_first_onset,,NA
SORBS1,0.739,123,SVM,2,_first_onset,,NA
RBFOX3,0.737,124,SVM,2,_first_onset,,NA
ENPP5,0.735,125,SVM,2,_first_onset,,NA
PACSIN3,0.732,126,SVM,2,_first_onset,,NA
GOLGA4,0.729,127,SVM,2,_first_onset,,NA
ANKRD2,0.725,128,SVM,2,_first_onset,,NA
PRND,0.722,129,SVM,2,_first_onset,,NA
HPCAL4,0.719,130,SVM,2,_first_onset,,NA
SERPINB8,0.717,131,SVM,2,_first_onset,,NA
MELTF,0.713,132,SVM,2,_first_onset,,NA
MYL5,0.709,133,SVM,2,_first_onset,,NA
ADAM12,0.705,134,SVM,2,_first_onset,,NA
SPINK7,0.701,135,SVM,2,_first_onset,,NA
ELAVL4,0.696,136,SVM,2,_first_onset,,NA
MYBPH,0.687,137,SVM,2,_first_onset,,NA
CALCA,0.693,1,SVM,3,_first_onset,,NA
NEFL,0.781,2,SVM,3,_first_onset,,NA
GFAP,0.807,3,SVM,3,_first_onset,,NA
MYL3,0.832,4,SVM,3,_first_onset,,NA
EDA2R,0.846,5,SVM,3,_first_onset,,NA
UNC45A,0.866,6,SVM,3,_first_onset,,NA
IL32,0.871,7,SVM,3,_first_onset,,NA
KLK4,0.876,8,SVM,3,_first_onset,,NA
ITGAM,0.88,9,SVM,3,_first_onset,,NA
CD38,0.884,10,SVM,3,_first_onset,,NA
HSPB6,0.883,11,SVM,3,_first_onset,,NA
IQGAP2,0.884,12,SVM,3,_first_onset,,NA
NDE1,0.891,13,SVM,3,_first_onset,,NA
CAP2,0.895,14,SVM,3,_first_onset,,NA
AFAP1L1,0.898,15,SVM,3,_first_onset,,NA
CALCB,0.898,16,SVM,3,_first_onset,,NA
TNFRSF12A,0.897,17,SVM,3,_first_onset,,NA
PPFIA4,0.898,18,SVM,3,_first_onset,,NA
TNNC1,0.898,19,SVM,3,_first_onset,,NA
ADAM12,0.9,20,SVM,3,_first_onset,,NA
TNNI3,0.902,21,SVM,3,_first_onset,,MAX
IGFL3,0.901,22,SVM,3,_first_onset,,NA
CELSR2,0.902,23,SVM,3,_first_onset,,MAX
MYOM3,0.9,24,SVM,3,_first_onset,,NA
NFAT5,0.899,25,SVM,3,_first_onset,,NA
OGN,0.9,26,SVM,3,_first_onset,,NA
DUSP29,0.899,27,SVM,3,_first_onset,,NA
EPHA1,0.899,28,SVM,3,_first_onset,,NA
COL6A3,0.897,29,SVM,3,_first_onset,,NA
TXLNB,0.896,30,SVM,3,_first_onset,,NA
MYBPC1,0.893,31,SVM,3,_first_onset,,NA
PBXIP1,0.891,32,SVM,3,_first_onset,,NA
DTNB,0.89,33,SVM,3,_first_onset,,NA
CCN3,0.889,34,SVM,3,_first_onset,,NA
MMP3,0.886,35,SVM,3,_first_onset,,NA
KLK15,0.885,36,SVM,3,_first_onset,,NA
NGRN,0.885,37,SVM,3,_first_onset,,NA
KRI1,0.884,38,SVM,3,_first_onset,,NA
MEGF10,0.883,39,SVM,3,_first_onset,,NA
MSTN,0.883,40,SVM,3,_first_onset,,NA
JCAD,0.882,41,SVM,3,_first_onset,,NA
SERPINB8,0.882,42,SVM,3,_first_onset,,NA
MYOC,0.881,43,SVM,3,_first_onset,,NA
STX4,0.879,44,SVM,3,_first_onset,,NA
MYOM2,0.876,45,SVM,3,_first_onset,,NA
USP28,0.874,46,SVM,3,_first_onset,,NA
ACTN2,0.872,47,SVM,3,_first_onset,,NA
NEB,0.87,48,SVM,3,_first_onset,,NA
EZR,0.869,49,SVM,3,_first_onset,,NA
PDZD2,0.868,50,SVM,3,_first_onset,,NA
HS6ST2,0.866,51,SVM,3,_first_onset,,NA
MYL11,0.865,52,SVM,3,_first_onset,,NA
CCK,0.863,53,SVM,3,_first_onset,,NA
MAP4K1,0.861,54,SVM,3,_first_onset,,NA
POSTN,0.86,55,SVM,3,_first_onset,,NA
ENPP5,0.857,56,SVM,3,_first_onset,,NA
MYL1,0.854,57,SVM,3,_first_onset,,NA
CLEC4G,0.852,58,SVM,3,_first_onset,,NA
IGFBP6,0.851,59,SVM,3,_first_onset,,NA
TRAK1,0.848,60,SVM,3,_first_onset,,NA
RBFOX3,0.846,61,SVM,3,_first_onset,,NA
RGMA,0.843,62,SVM,3,_first_onset,,NA
CA3,0.839,63,SVM,3,_first_onset,,NA
TTN,0.837,64,SVM,3,_first_onset,,NA
FABP3,0.834,65,SVM,3,_first_onset,,NA
ALDH3A1,0.832,66,SVM,3,_first_onset,,NA
DCTN2,0.831,67,SVM,3,_first_onset,,NA
KLK8,0.829,68,SVM,3,_first_onset,,NA
WASF3,0.827,69,SVM,3,_first_onset,,NA
CRTAC1,0.826,70,SVM,3,_first_onset,,NA
CSRP3,0.824,71,SVM,3,_first_onset,,NA
STRN,0.822,72,SVM,3,_first_onset,,NA
MTSS1,0.82,73,SVM,3,_first_onset,,NA
COMP,0.818,74,SVM,3,_first_onset,,NA
CD276,0.816,75,SVM,3,_first_onset,,NA
MPHOSPH9,0.812,76,SVM,3,_first_onset,,NA
ITGB2,0.811,77,SVM,3,_first_onset,,NA
PHOSPHO1,0.809,78,SVM,3,_first_onset,,NA
SMTN,0.807,79,SVM,3,_first_onset,,NA
FGFBP1,0.805,80,SVM,3,_first_onset,,NA
